word_title,count
system,96
exploration,96
Plan,96
Europe,95
deal,95
Work,95
programs,94
broadband,94
Telesat,94
Failure,93
With,93
develop,92
work,92
ready,91
orbital,91
Security,90
Plans,90
company,90
Vega,89
Editorial,89
1,89
service,89
development,89
4,89
Service,89
Could,88
than,88
radar,88
still,87
Commentary,87
Report,87
strategy,87
JWST,87
Asteroid,87
review,87
Lunar,87
6,86
Two,86
MDA,86
joins,85
After,85
Heavy,85
Long,85
Revenue,85
Grumman,85
Delta,84
ahead,83
study,83
Small,83
Business,83
Center,83
landing,82
South,82
No,82
French,82
vehicle,82
this,82
Thales,81
Engine,81
Telescope,81
Raytheon,81
private,80
Despite,80
For,80
prepares,80
human,79
C-band,79
orders,79
return,79
an,79
Build,79
agreement,79
Year,78
calls,78
schedule,78
that,78
Missions,78
Cargo,78
Shuttle,77
Seeks,77
Spending,77
SpaceShipTwo,77
operations,77
announces,77
tests,76
network,76
acquisition,76
down,75
takes,75
Top,75
Antares,75
Forward,75
Starship,75
policy,75
ATK,74
Aerojet,73
Office,73
India,73
Corp.,72
round,72
off,72
Army,72
Japan,72
Services,71
investment,71
Europe’s,71
use,71
How,71
GEO,71
intelligence,71
has,71
