date,author,avg_articles_each_author_per_day
"April 28, 2018",Jeff Foust,0.5
"April 28, 2018",Sandra Erwin,0.5
"April 9, 2010",Turner Brinton,0.2
"April 9, 2010",Amy Klamper,0.2
"April 9, 2010",Peter B. de Selding,0.6
"August 16, 2010",Turner Brinton,1.0
"August 19, 2016",Mike Gruss,0.3333333333333333
"August 19, 2016",Jeff Foust,0.6666666666666666
"December 6, 2012",Dan Leone,0.4
"December 6, 2012",Peter B. de Selding,0.6
"December 9, 2012",Peter B. de Selding,1.0
"February 21, 2018",Madhu Thangavelu,0.14285714285714285
"February 21, 2018",Debra Werner,0.14285714285714285
"February 21, 2018",Sandra Erwin,0.2857142857142857
"February 21, 2018",Caleb Henry,0.14285714285714285
"February 21, 2018",Jeff Foust,0.2857142857142857
"January 12, 2015",Mike Gruss,0.42857142857142855
"January 12, 2015",Peter B. de Selding,0.5714285714285714
"January 16, 2015",Peter B. de Selding,0.7142857142857143
"January 16, 2015",Jeff Foust,0.14285714285714285
"January 16, 2015",SpaceNews Staff,0.14285714285714285
"July 2, 2017",Caleb Henry,0.3333333333333333
"July 2, 2017",SpaceNews Editor,0.3333333333333333
"July 2, 2017",Jeff Foust,0.3333333333333333
"June 6, 2019",Caleb Henry,0.1111111111111111
"June 6, 2019",Sandra Erwin,0.2222222222222222
"June 6, 2019",Jeff Foust,0.2222222222222222
"June 6, 2019",Debra Werner,0.3333333333333333
"June 6, 2019",Brian Berger,0.1111111111111111
"March 27, 2020",Jeff Foust,0.5
"March 27, 2020",Caleb Henry,0.3333333333333333
"March 27, 2020",Sandra Erwin,0.16666666666666666
"May 2, 2011",Peter B. de Selding,0.05555555555555555
"May 2, 2011",Clara Moskowitz,0.05555555555555555
"May 2, 2011",Turner Brinton,0.1111111111111111
"May 2, 2011",Leonard David,0.05555555555555555
"May 2, 2011",SpaceNews Staff,0.4444444444444444
"May 2, 2011",Amy Svitak,0.1111111111111111
"May 2, 2011",Mike Wall,0.1111111111111111
"May 2, 2011",Paul Kallender-Umezu,0.05555555555555555
"May 31, 2018",Jeff Foust,0.5
"May 31, 2018",Sandra Erwin,0.25
"May 31, 2018",Caleb Henry,0.25
"May 8, 2012",SpaceNews Staff,0.3333333333333333
"May 8, 2012",Dan Leone,0.6666666666666666
"November 19, 2015",Mike Gruss,0.16666666666666666
"November 19, 2015",Jeff Foust,0.3333333333333333
"November 19, 2015",Peter B. de Selding,0.16666666666666666
"November 19, 2015",Paul G. Kaminski,0.16666666666666666
"November 19, 2015",Dan Leone,0.16666666666666666
"November 30, 2016",Jeff Foust,0.4
"November 30, 2016",Phillip Swarts,0.2
"November 30, 2016",Peter B. de Selding,0.2
"November 30, 2016",Caleb Henry,0.2
"October 26, 2011",Peter B. de Selding,1.0
"September 14, 2009",Peter B. de Selding,0.2222222222222222
"September 14, 2009",Turner Brinton,0.1111111111111111
"September 14, 2009",K.S. Jayaraman,0.1111111111111111
"September 14, 2009",SpaceNews Staff,0.5555555555555556
