date,author,avg_articles_each_author_per_day
"April 26, 2016",Peter B. de Selding,0.375
"April 26, 2016",Mike Gruss,0.125
"April 26, 2016",SpaceNews Staff,0.125
"April 26, 2016",Jeff Foust,0.125
"April 26, 2016",Lori Garver,0.125
"April 26, 2016",Dan Gouré,0.125
"April 29, 2011",Amy Svitak,0.3333333333333333
"April 29, 2011",Peter B. de Selding,0.6666666666666666
"August 10, 2018",Jeff Foust,1.0
"August 14, 2012",SpaceNews Staff,1.0
"August 24, 2018",Jeff Foust,0.5
"August 24, 2018",Debra Werner,0.5
"August 8, 2019",Jeff Foust,0.125
"August 8, 2019",Debra Werner,0.4375
"August 8, 2019",Brian Berger,0.0625
"August 8, 2019",Caleb Henry,0.125
"August 8, 2019",Sandra Erwin,0.1875
"August 8, 2019",Ryan Walters,0.0625
"December 17, 2015",Mike Gruss,0.25
"December 17, 2015",Debra Werner,0.25
"December 17, 2015",Peter B. de Selding,0.25
"December 17, 2015",Jeff Foust,0.25
"February 23, 2021",Sen. Roger Wicker,0.08333333333333333
"February 23, 2021",Sandra Erwin,0.25
"February 23, 2021",Debra Werner,0.25
"February 23, 2021",Andrew Jones,0.08333333333333333
"February 23, 2021",Jeff Foust,0.3333333333333333
"February 28, 2019",Sandra Erwin,0.375
"February 28, 2019",Jeff Foust,0.5
"February 28, 2019",David Pugliese,0.125
"January 29, 2016",Peter B. de Selding,1.0
"March 13, 2013",Irene Klotz,0.5
"March 13, 2013",Peter B. de Selding,0.5
"March 2, 2019",Jeff Foust,0.3333333333333333
"March 2, 2019",Mike Rogers,0.3333333333333333
"March 2, 2019",Sandra Erwin,0.3333333333333333
"November 11, 2009",Peter B. de Selding,1.0
"October 8, 2019",Jeff Foust,0.5
"October 8, 2019",Debra Werner,0.16666666666666666
"October 8, 2019",Caleb Henry,0.16666666666666666
"October 8, 2019",Sandra Erwin,0.16666666666666666
