date,author,avg_articles_each_author_per_day
"April 19, 2017",Debra Werner,0.4
"April 19, 2017",David Pugliese,0.2
"April 19, 2017",Jeff Foust,0.4
"December 1, 2018",Jeff Foust,0.5
"December 1, 2018",Sandra Erwin,0.5
"December 17, 2014",Mike Gruss,0.25
"December 17, 2014",Casey Dreier,0.125
"December 17, 2014",Peter B. de Selding,0.25
"December 17, 2014",Jeff Foust,0.25
"December 17, 2014",Brian Berger,0.125
"December 18, 2016",Caleb Henry,0.5
"December 18, 2016",Intelsat General,0.5
"December 23, 2014",Peter B. de Selding,0.3333333333333333
"December 23, 2014",Mike Gruss,0.3333333333333333
"December 23, 2014",Jeff Foust,0.3333333333333333
"February 20, 2013",James Wertz,0.25
"February 20, 2013",Peter B. de Selding,0.25
"February 20, 2013",Mike Gruss,0.25
"February 20, 2013",Leonard David,0.25
"February 21, 2012",Dan Leone,0.5
"February 21, 2012",Peter B. de Selding,0.5
"February 6, 2018",Jeff Foust,0.5
"February 6, 2018",Debra Werner,0.25
"February 6, 2018",Caleb Henry,0.25
"January 12, 2012",Warren Ferster,0.25
"January 12, 2012",Marcus Weisgerber,0.25
"January 12, 2012",Peter B. de Selding,0.5
"January 19, 2020",Jeff Foust,1.0
"January 24, 2018",Sandra Erwin,0.3333333333333333
"January 24, 2018",Caleb Henry,0.3333333333333333
"January 24, 2018",Jeff Foust,0.3333333333333333
"January 4, 2011",Peter B. de Selding,1.0
"July 15, 2021",Jason Rainbow,0.3333333333333333
"July 15, 2021",Andrew Jones,0.16666666666666666
"July 15, 2021",Jeff Foust,0.5
"July 17, 2020",Jeff Foust,0.5
"July 17, 2020",Andrew Jones,0.5
"July 18, 2022",Jason Rainbow,0.16666666666666666
"July 18, 2022",Debra Werner,0.16666666666666666
"July 18, 2022",Jeff Foust,0.16666666666666666
"July 18, 2022",Sandra Erwin,0.5
"July 19, 2011",SpaceNews Staff,0.5
"July 19, 2011",Peter B. de Selding,0.5
"July 3, 2021",Sandra Erwin,0.5
"July 3, 2021",Jeff Foust,0.5
"July 8, 2018",Jeff Foust,1.0
"June 15, 2011",Peter B. de Selding,1.0
"June 16, 2015",Mike Gruss,0.5
"June 16, 2015",Peter B. de Selding,0.25
"June 16, 2015",Dan Leone,0.25
"June 26, 2020",Debra Werner,0.4
"June 26, 2020",Jeff Foust,0.2
"June 26, 2020",Richard Upchurch,0.2
"June 26, 2020",John “J.R.” Riordan,0.2
"June 29, 2018",Caleb Henry,0.5
"June 29, 2018",Jeff Foust,0.5
"March 5, 2021",Jeff Foust,0.5
"March 5, 2021",Sandra Erwin,0.5
"May 1, 2012",Peter B. de Selding,0.5
"May 1, 2012",SpaceNews Staff,0.5
"May 13, 2013",Dan Leone,0.25
"May 13, 2013",Peter B. de Selding,0.125
"May 13, 2013",SpaceNews,0.125
"May 13, 2013",Roger Rusch,0.125
"May 13, 2013",SpaceNews Editor,0.25
"May 13, 2013",Mike Gruss,0.125
"May 20, 2021",Sandra Erwin,0.16666666666666666
"May 20, 2021",Jeff Foust,0.5
"May 20, 2021", Maj. Jared Thompson,0.16666666666666666
"May 20, 2021",Jason Rainbow,0.16666666666666666
"May 24, 2021",Sandra Erwin,0.4
"May 24, 2021",Paul Meyer,0.2
"May 24, 2021",Jason Rainbow,0.2
"May 24, 2021",Jeff Foust,0.2
"October 13, 2016",Peter B. de Selding,0.3333333333333333
"October 13, 2016",Jeff Foust,0.6666666666666666
"October 13, 2018",Jeff Foust,0.6666666666666666
"October 13, 2018",Robert Bell,0.3333333333333333
"October 14, 2021",Andrew Jones,0.09090909090909091
"October 14, 2021",Sandra Erwin,0.36363636363636365
"October 14, 2021",Jeff Foust,0.2727272727272727
"October 14, 2021",Jason Rainbow,0.09090909090909091
"October 14, 2021",Debra Werner,0.18181818181818182
"October 18, 2016",Jeff Foust,1.0
"October 26, 2021",Debra Werner,0.2
"October 26, 2021",Sandra Erwin,0.2
"October 26, 2021",Jason Rainbow,0.4
"October 26, 2021",Jeff Foust,0.2
"September 11, 2019",Caleb Henry,0.14285714285714285
"September 11, 2019",Debra Werner,0.42857142857142855
"September 11, 2019",Andrew Jones,0.14285714285714285
"September 11, 2019",Jeff Foust,0.2857142857142857
"September 13, 2013",Brian Berger,0.3333333333333333
"September 13, 2013",Mike Gruss,0.6666666666666666
"September 9, 2020",Sandra Erwin,0.6
"September 9, 2020",Jeff Foust,0.2
"September 9, 2020",Andrew Jones,0.2
