word_title,date,count
Reefs,"February 21, 2011",1
from,"February 21, 2011",1
Chief,"February 21, 2011",1
Stardust,"February 21, 2011",1
Help,"February 21, 2011",1
Percent,"February 21, 2011",1
EELV,"February 21, 2011",1
Boost,"February 21, 2011",1
Crater,"February 21, 2011",1
$500M,"February 21, 2011",1
‘Vote,"February 21, 2011",1
Puts,"February 21, 2011",1
Savings,"February 21, 2011",1
Israel’s,"February 21, 2011",1
Satellite,"February 21, 2011",1
Called,"February 21, 2011",1
Landsats,"February 21, 2011",1
Returns,"February 21, 2011",1
Request,"February 21, 2011",1
"Executive,","February 21, 2011",1
Withdraw,"February 21, 2011",1
Future,"February 21, 2011",1
Penalize,"February 21, 2011",1
Dale,"February 21, 2011",1
Aims,"February 21, 2011",1
Rafael,"February 21, 2011",1
2012,"February 21, 2011",1
AEHF,"February 21, 2011",1
to,"February 21, 2011",1
Aerospace,"February 21, 2011",1
2013,"February 21, 2011",1
Lockheed,"February 21, 2011",1
Glitch,"February 21, 2011",1
Budget,"February 21, 2011",1
Pinpoint,"February 21, 2011",1
Alaska,"February 21, 2011",1
Confidence’,"February 21, 2011",1
NASA,"February 21, 2011",1
Up,"February 21, 2011",1
Pictures,"February 21, 2011",1
MEADS,"February 21, 2011",1
Its,"February 21, 2011",1
Charge,"February 21, 2011",1
Man-made,"February 21, 2011",1
Support,"February 21, 2011",1
Missions,"February 21, 2011",1
"Nash,","February 21, 2011",1
Proposal,"February 21, 2011",1
Could,"February 21, 2011",1
‘Prius’,"February 21, 2011",1
Obama,"February 21, 2011",1
55,"February 21, 2011",1
Scrounge,"February 21, 2011",1
USGS,"February 21, 2011",1
Corp.,"February 21, 2011",1
After,"February 21, 2011",1
Threats,"February 21, 2011",1
Build,"February 21, 2011",1
Science,"February 21, 2011",1
Lawmakers,"February 21, 2011",1
World’s,"February 21, 2011",1
Coral,"February 21, 2011",1
‘Unaffordable’,"February 21, 2011",1
Comet’s,"February 21, 2011",1
Percent,"February 21, 2012",1
Growth,"February 21, 2012",1
Goddard,"February 21, 2012",1
of,"February 21, 2012",1
Meet,"February 21, 2012",1
Will,"February 21, 2012",1
Returning,"February 21, 2012",1
Not,"February 21, 2012",1
Target,"February 21, 2012",1
2010-2012,"February 21, 2012",1
Command,"February 21, 2012",1
NASA’s,"February 21, 2012",1
Third,"February 21, 2012",1
in,"February 21, 2012",1
to,"February 21, 2012",1
4-5,"February 21, 2012",1
SES,"February 21, 2012",1
Subscriber,"February 21, 2013",1
Safran,"February 21, 2013",1
Business,"February 21, 2013",1
Hazmat,"February 21, 2013",1
DoD,"February 21, 2013",1
Space,"February 21, 2013",1
Make,"February 21, 2013",1
SN,"February 21, 2013",1
Shrugs,"February 21, 2013",1
in,"February 21, 2013",1
Attempt,"February 21, 2013",1
Avio’s,"February 21, 2013",1
Motor,"February 21, 2013",1
Modest,"February 21, 2013",1
HughesNet’s,"February 21, 2013",1
Orion,"February 21, 2013",1
Milestone,"February 21, 2013",1
"Hispasat,","February 21, 2013",1
Mission,"February 21, 2013",1
In,"February 21, 2013",1
Friday,"February 21, 2013",1
Rise,"February 21, 2013",1
Profit,"February 21, 2013",1
To,"February 21, 2013",1
to,"February 21, 2013",1
1st,"February 21, 2013",1
Antares,"February 21, 2013",1
Better,"February 21, 2013",1
Off,"February 21, 2013",1
Kennedy,"February 21, 2013",1
Abort,"February 21, 2013",1
Still,"February 21, 2013",1
Scheduled,"February 21, 2013",1
a,"February 21, 2013",1
Fast-growing,"February 21, 2013",1
Is,"February 21, 2013",1
SATCOM,"February 21, 2013",1
Buyer,"February 21, 2013",1
Transfer,"February 21, 2013",1
Next,"February 21, 2013",1
Refueling,"February 21, 2013",1
Continues,"February 21, 2013",1
Growth,"February 21, 2013",1
Robotic,"February 21, 2013",1
at,"February 21, 2013",1
Commercial,"February 21, 2013",1
Arrives,"February 21, 2013",1
Guest,"February 21, 2013",1
Ways,"February 21, 2013",1
Interested,"February 21, 2013",1
Capsule,"February 21, 2013",1
EchoStar,"February 21, 2013",1
At,"February 21, 2013",1
Seven,"February 21, 2013",1
the,"February 21, 2013",1
Hot-Fire,"February 21, 2013",1
of,"February 21, 2013",1
“Live,"February 21, 2014",1
Discloses,"February 21, 2014",1
Buyers,"February 21, 2014",1
80,"February 21, 2014",1
Learn,"February 21, 2014",1
Percent,"February 21, 2014",1
Satellite,"February 21, 2014",1
Classified,"February 21, 2014",1
a,"February 21, 2014",1
Previously,"February 21, 2014",1
Surveillance,"February 21, 2014",1
"Delays,","February 21, 2014",1
|,"February 21, 2014",1
GPS,"February 21, 2014",1
Bandwidth,"February 21, 2014",1
Remains,"February 21, 2014",1
2F-5,"February 21, 2014",1
Network,"February 21, 2014",1
Consumer,"February 21, 2014",1
Shelton,"February 21, 2014",1
Space,"February 21, 2014",1
Satcom,"February 21, 2014",1
Britain,"February 21, 2014",1
Goes,"February 21, 2014",1
DGA,"February 21, 2014",1
Quarterly,"February 21, 2014",1
Business,"February 21, 2014",1
Hitch,"February 21, 2014",1
After,"February 21, 2014",1
to,"February 21, 2014",1
as,"February 21, 2014",1
SES,"February 21, 2014",1
Declining,"February 21, 2014",1
Launch,"February 21, 2014",1
Cooperating,"February 21, 2014",1
Effort,"February 21, 2014",1
Dish,"February 21, 2014",1
Hughes,"February 21, 2014",1
Less”,"February 21, 2014",1
Hopeful,"February 21, 2014",1
off,"February 21, 2014",1
France’s,"February 21, 2014",1
Without,"February 21, 2014",1
Transfers,"February 21, 2014",1
Overtake,"February 21, 2014",1
Faces,"February 21, 2014",1
Positioned,"February 21, 2014",1
EchoStar,"February 21, 2014",1
Experts,"February 21, 2017",1
shares,"February 21, 2017",1
CFO,"February 21, 2017",1
contract,"February 21, 2017",1
that,"February 21, 2017",1
wins,"February 21, 2017",1
in,"February 21, 2017",1
step,"February 21, 2017",1
space,"February 21, 2017",1
bigger,"February 21, 2017",1
will,"February 21, 2017",1
NASA,"February 21, 2017",1
jointly,"February 21, 2017",1
what,"February 21, 2017",1
"CEO,","February 21, 2017",1
down,"February 21, 2017",1
operators,"February 21, 2017",1
questions,"February 21, 2017",1
authorization,"February 21, 2017",1
amid,"February 21, 2017",1
Ex-Im,"February 21, 2017",1
weigh,"February 21, 2017",1
plummet,"February 21, 2017",1
order,"February 21, 2017",1
Pentagon,"February 21, 2017",1
as,"February 21, 2017",1
calls,"February 21, 2017",1
satellite,"February 21, 2017",1
teaming,"February 21, 2017",1
Eagle,"February 21, 2017",1
be,"February 21, 2017",1
Kacific,"February 21, 2017",1
bill,"February 21, 2017",1
Orion,"February 21, 2017",1
setback,"February 21, 2017",1
owned,"February 21, 2017",1
overcomes,"February 21, 2017",1
two,"February 21, 2017",1
study,"February 21, 2017",1
ISS,"February 21, 2017",1
should,"February 21, 2017",1
a,"February 21, 2017",1
JSAT,"February 21, 2017",1
condosat,"February 21, 2017",1
Global,"February 21, 2017",1
mean,"February 21, 2017",1
with,"February 21, 2017",1
budget,"February 21, 2017",1
satellite,"February 21, 2018",1
incremental,"February 21, 2018",1
engineers,"February 21, 2018",1
by,"February 21, 2018",1
landings,"February 21, 2018",1
