word_title,date,count
Italian,"December 19, 2017",1
top,"December 19, 2017",1
flights,"December 19, 2017",1
signs,"December 19, 2017",1
good,"December 19, 2017",1
space,"December 19, 2017",1
flight,"December 19, 2017",1
blocks,"December 19, 2017",1
Ex-Im,"December 19, 2017",1
Platino,"December 19, 2017",1
&,"December 19, 2017",1
Vega-optimised,"December 19, 2017",1
honors,"December 19, 2017",1
contract,"December 19, 2017",1
Blue,"December 19, 2017",1
nominee,"December 19, 2017",1
GPS,"December 19, 2017",1
gets,"December 19, 2017",1
agency,"December 19, 2017",1
controversial,"December 19, 2017",1
deal,"December 19, 2017",1
Italy’s,"December 19, 2017",1
SpaceX,"December 19, 2017",1
trouble,"December 19, 2017",1
Some,"December 19, 2017",1
Sitael,"December 19, 2017",1
a,"December 19, 2017",1
Shepard,"December 19, 2017",1
Awards,"December 19, 2017",1
Virgin,"December 19, 2017",1
looms,"December 19, 2017",1
Bank,"December 19, 2017",1
but,"December 19, 2017",1
crewed,"December 19, 2017",1
news,"December 19, 2017",1
"3,","December 19, 2017",1
satellites,"December 19, 2017",1
takes,"December 19, 2017",1
Origin,"December 19, 2017",1
Innovation,"December 19, 2017",1
year,"December 19, 2017",1
Senate,"December 19, 2017",1
away,"December 19, 2017",1
Excellence,"December 19, 2017",1
small,"December 19, 2017",1
committee,"December 19, 2017",1
New,"December 19, 2017",1
Galactic,"December 19, 2017",1
in,"December 19, 2017",1
from,"December 19, 2017",1
SpaceShipTwo,"December 19, 2017",1
research,"December 19, 2017",1
SpaceNews,"December 19, 2017",1
with,"December 19, 2017",1
chairman,"December 19, 2017",1
SpaceX,"December 19, 2018",1
early,"December 19, 2018",1
Satcom,"December 19, 2018",1
closes,"December 19, 2018",1
Pence,"December 19, 2018",1
"Arianespace,","December 19, 2018",1
of,"December 19, 2018",1
to,"December 19, 2018",1
week:,"December 19, 2018",1
our,"December 19, 2018",1
sky,"December 19, 2018",1
missions,"December 19, 2018",1
Op-ed,"December 19, 2018",1
mission,"December 19, 2018",1
on,"December 19, 2018",1
ISRO,"December 19, 2018",1
proposal,"December 19, 2018",1
contracts,"December 19, 2018",1
rideshare,"December 19, 2018",1
Pentagon,"December 19, 2018",1
science,"December 19, 2018",1
continued,"December 19, 2018",1
forward,"December 19, 2018",1
U.S.,"December 19, 2018",1
French,"December 19, 2018",1
demonstrate,"December 19, 2018",1
"2018,","December 19, 2018",1
space,"December 19, 2018",1
FIRST,"December 19, 2018",1
moving,"December 19, 2018",1
euro,"December 19, 2018",1
at,"December 19, 2018",1
NASA,"December 19, 2018",1
looking,"December 19, 2018",1
2019,"December 19, 2018",1
spy,"December 19, 2018",1
briefed,"December 19, 2018",1
loan,"December 19, 2018",1
the,"December 19, 2018",1
meeting,"December 19, 2018",1
New,"December 19, 2018",1
smallsat,"December 19, 2018",1
demand,"December 19, 2018",1
this,"December 19, 2018",1
final,"December 19, 2018",1
Preserving,"December 19, 2018",1
UP,"December 19, 2018",1
delayed,"December 19, 2018",1
$500,"December 19, 2018",1
SES,"December 19, 2018",1
for,"December 19, 2018",1
services,"December 19, 2018",1
raising,"December 19, 2018",1
Command,"December 19, 2018",1
400,"December 19, 2018",1
developments,"December 19, 2018",1
Ku-band,"December 19, 2018",1
strong,"December 19, 2018",1
eyes,"December 19, 2018",1
complete,"December 19, 2019",1
militarization,"December 19, 2019",1
and,"December 19, 2019",1
wideband,"December 19, 2019",1
NOAA,"December 19, 2019",1
FCC,"December 19, 2019",1
application,"December 19, 2019",1
grow,"December 19, 2019",1
mix,"December 19, 2019",1
transition,"December 19, 2019",1
of,"December 19, 2019",1
GOES,"December 19, 2019",1
Satellogic,"December 19, 2019",1
million,"December 19, 2019",1
$50,"December 19, 2019",1
has,"December 19, 2019",1
|,"December 19, 2019",1
raises,"December 19, 2019",1
GAO:,"December 19, 2019",1
technology,"December 19, 2019",1
space,"December 19, 2019",1
DoD,"December 19, 2019",1
invest,"December 19, 2019",1
build,"December 19, 2019",1
in,"December 19, 2019",1
National,"December 19, 2019",1
gets,"December 19, 2019",1
Security,"December 19, 2019",1
about,"December 19, 2019",1
On,"December 19, 2019",1
acquire,"December 19, 2019",1
imaging,"December 19, 2019",1
plan,"December 19, 2019",1
approves,"December 19, 2019",1
startup,"December 19, 2019",1
OK,"December 19, 2019",1
developing,"December 19, 2019",1
"Capital,","December 19, 2019",1
satellite-based,"December 19, 2019",1
detect,"December 19, 2019",1
Starlink,"December 19, 2019",1
D-Orbit,"December 19, 2019",1
congestion,"December 19, 2019",1
for,"December 19, 2019",1
SpaceX,"December 19, 2019",1
communications,"December 19, 2019",1
Ventures,"December 19, 2019",1
Noosphere,"December 19, 2019",1
out,"December 19, 2019",1
360,"December 19, 2019",1
combustible,"December 19, 2019",1
Seraphim,"December 19, 2019",1
constellation,"December 19, 2019",1
weather,"December 19, 2019",1
next-generation,"December 19, 2019",1
clear,"December 19, 2019",1
insecurity:,"December 19, 2019",1
15,"December 19, 2019",1
Concerns,"December 19, 2019",1
no,"December 19, 2019",1
missiles,"December 19, 2019",1
orbits,"December 19, 2019",1
HawkEye,"December 19, 2019",1
re-space,"December 19, 2019",1
hypersonic,"December 19, 2019",1
Return,"December 19, 2020",1
classified,"December 19, 2020",1
into,"December 19, 2020",1
launch,"December 19, 2020",1
with,"December 19, 2020",1
satellite,"December 19, 2020",1
development,"December 19, 2020",1
program,"December 19, 2020",1
NASA,"December 19, 2020",1
Mars,"December 19, 2020",1
NRO,"December 19, 2020",1
up,"December 19, 2020",1
9,"December 19, 2020",1
next,"December 19, 2020",1
Sample,"December 19, 2020",1
2020,"December 19, 2020",1
SpaceX,"December 19, 2020",1
Falcon,"December 19, 2020",1
moves,"December 19, 2020",1
wraps,"December 19, 2020",1
phase,"December 19, 2020",1
launches,"December 19, 2021",1
Turkey’s,"December 19, 2021",1
communications,"December 19, 2021",1
Turksat,"December 19, 2021",1
SpaceX,"December 19, 2021",1
satellite,"December 19, 2021",1
5B,"December 19, 2021",1
South,"December 19, 2022",1
enters,"December 19, 2022",1
Electron,"December 19, 2022",1
month,"December 19, 2022",1
range,"December 19, 2022",1
Korean,"December 19, 2022",1
Gen2,"December 19, 2022",1
SpaceX,"December 19, 2022",1
this,"December 19, 2022",1
from,"December 19, 2022",1
orbit,"December 19, 2022",1
and,"December 19, 2022",1
spacecraft,"December 19, 2022",1
with,"December 19, 2022",1
Wallops,"December 19, 2022",1
preparing,"December 19, 2022",1
maneuver,"December 19, 2022",1
start,"December 19, 2022",1
launch,"December 19, 2022",1
first,"December 19, 2022",1
January,"December 19, 2022",1
delay,"December 19, 2022",1
launches,"December 19, 2022",1
lunar,"December 19, 2022",1
deceleration,"December 19, 2022",1
Starlink,"December 19, 2022",1
issues,"December 19, 2022",1
