word_title,date,count
site,"January 17, 2019",1
terminals,"January 17, 2019",1
Trump,"January 17, 2019",1
White,"January 17, 2019",1
unveils,"January 17, 2019",1
funding,"January 17, 2019",1
House,"January 17, 2019",1
"Review,","January 17, 2019",1
for,"January 17, 2019",1
build,"January 17, 2019",1
as,"January 17, 2019",1
promises,"January 17, 2019",1
Isotropic,"January 17, 2019",1
Bank,"January 17, 2019",1
Cape,"January 17, 2019",1
wants,"January 17, 2019",1
in,"January 17, 2019",1
Defense,"January 17, 2019",1
Relativity,"January 17, 2019",1
at,"January 17, 2019",1
Canaveral,"January 17, 2019",1
expect,"January 17, 2019",1
on,"January 17, 2019",1
challenging,"January 17, 2019",1
partner,"January 17, 2019",1
2020,"January 17, 2019",1
Force,"January 17, 2019",1
leaders,"January 17, 2019",1
Boeing,"January 17, 2019",1
to,"January 17, 2019",1
"NOAA,","January 17, 2019",1
ahead,"January 17, 2019",1
Systems,"January 17, 2019",1
European,"January 17, 2019",1
data,"January 17, 2019",1
Ex-Im,"January 17, 2019",1
Missile,"January 17, 2019",1
year,"January 17, 2019",1
launch,"January 17, 2019",1
weather,"January 17, 2019",1
nominations,"January 17, 2019",1
user,"January 17, 2019",1
"investor,","January 17, 2019",1
space,"January 17, 2019",1
Air,"January 17, 2019",1
sensors,"January 17, 2019",1
gains,"January 17, 2019",1
Agency,"January 17, 2019",1
Space,"January 17, 2019",1
a,"January 17, 2019",1
resubmits,"January 17, 2019",1
$35,"January 17, 2020",1
test,"January 17, 2020",1
5,"January 17, 2020",1
SpinLaunch,"January 17, 2020",1
West,"January 17, 2020",1
system,"January 17, 2020",1
raises,"January 17, 2020",1
Crew,"January 17, 2020",1
abort,"January 17, 2020",1
"capacity,","January 17, 2020",1
to,"January 17, 2020",1
Eutelsat,"January 17, 2020",1
Power,"January 17, 2020",1
payload,"January 17, 2020",1
SpaceX,"January 17, 2020",1
Dragon,"January 17, 2020",1
loss,"January 17, 2020",1
spared,"January 17, 2020",1
million,"January 17, 2020",1
halves,"January 17, 2020",1
launch,"January 17, 2020",1
hosted,"January 17, 2020",1
B,"January 17, 2020",1
Orbit,"January 17, 2021",1
