word_title,date,count
small,"August 19, 2018",1
in,"August 19, 2018",1
priorities,"August 19, 2018",1
Balancing,"August 19, 2018",1
Foust,"August 19, 2018",1
military,"August 19, 2018",1
Forward,"August 19, 2018",1
other,"August 19, 2018",1
big,"August 19, 2018",1
funds,"August 19, 2018",1
Concerns,"August 19, 2018",1
|,"August 19, 2018",1
diverting,"August 19, 2018",1
and,"August 19, 2018",1
grow,"August 19, 2018",1
space,"August 19, 2018",1
from,"August 19, 2018",1
about,"August 19, 2018",1
Force,"August 19, 2018",1
science,"August 19, 2018",1
Space,"August 19, 2018",1
proposals,"August 19, 2019",1
over,"August 19, 2019",1
Electron,"August 19, 2019",1
Lab,"August 19, 2019",1
launches,"August 19, 2019",1
Centaur,"August 19, 2019",1
NASA,"August 19, 2019",1
FAA,"August 19, 2019",1
logistics,"August 19, 2019",1
factory,"August 19, 2019",1
expansion,"August 19, 2019",1
taps,"August 19, 2019",1
prioritizing,"August 19, 2019",1
transition,"August 19, 2019",1
reorganization,"August 19, 2019",1
Viasat,"August 19, 2019",1
Delta,"August 19, 2019",1
orbit,"August 19, 2019",1
call,"August 19, 2019",1
begins,"August 19, 2019",1
"Atlas,","August 19, 2019",1
Dragon-1,"August 19, 2019",1
first,"August 19, 2019",1
reaches,"August 19, 2019",1
Vulcan,"August 19, 2019",1
"workload,","August 19, 2019",1
Smart,"August 19, 2019",1
mounting,"August 19, 2019",1
Blue,"August 19, 2019",1
four,"August 19, 2019",1
commercial,"August 19, 2019",1
build,"August 19, 2019",1
Rocket,"August 19, 2019",1
Link,"August 19, 2019",1
Gateway,"August 19, 2019",1
Technologies,"August 19, 2019",1
satellite,"August 19, 2019",1
Chinese,"August 19, 2019",1
Canyon,"August 19, 2019",1
smallsats,"August 19, 2019",1
16,"August 19, 2019",1
issues,"August 19, 2019",1
"office,","August 19, 2019",1
actions,"August 19, 2020",1
Kepler,"August 19, 2020",1
be,"August 19, 2020",1
shifts,"August 19, 2020",1
swears,"August 19, 2020",1
boss,"August 19, 2020",1
win,"August 19, 2020",1
LEO,"August 19, 2020",1
launching,"August 19, 2020",1
science,"August 19, 2020",1
despite,"August 19, 2020",1
priority,"August 19, 2020",1
SpaceX,"August 19, 2020",1
gets,"August 19, 2020",1
private,"August 19, 2020",1
protest,"August 19, 2020",1
|,"August 19, 2020",1
Asia-Pacific,"August 19, 2020",1
and,"August 19, 2020",1
planetary,"August 19, 2020",1
China,"August 19, 2020",1
SpaceNet,"August 19, 2020",1
satellite,"August 19, 2020",1
cubesat,"August 19, 2020",1
Planet,"August 19, 2020",1
pressing,"August 19, 2020",1
SPACECOM,"August 19, 2020",1
megaconstellation,"August 19, 2020",1
missions,"August 19, 2020",1
SN,"August 19, 2020",1
asteroid,"August 19, 2020",1
Viasat,"August 19, 2020",1
we,"August 19, 2020",1
Op-ed,"August 19, 2020",1
dataset,"August 19, 2020",1
Satellites,"August 19, 2020",1
military,"August 19, 2020",1
foresees,"August 19, 2020",1
players:,"August 19, 2020",1
accountable,"August 19, 2020",1
Pixxel,"August 19, 2020",1
2021,"August 19, 2020",1
signs,"August 19, 2020",1
launches,"August 19, 2020",1
emphasize,"August 19, 2020",1
roadmap,"August 19, 2020",1
against,"August 19, 2020",1
million,"August 19, 2020",1
Military,"August 19, 2020",1
sector,"August 19, 2020",1
U.S.,"August 19, 2020",1
partnerships,"August 19, 2020",1
logistics,"August 19, 2020",1
must,"August 19, 2020",1
questions,"August 19, 2020",1
Air,"August 19, 2020",1
NASA’s,"August 19, 2020",1
female,"August 19, 2020",1
general,"August 19, 2020",1
program,"August 19, 2020",1
have,"August 19, 2020",1
raises,"August 19, 2020",1
import,"August 19, 2020",1
technology,"August 19, 2020",1
first,"August 19, 2020",1
regulations,"August 19, 2020",1
$5,"August 19, 2020",1
contract,"August 19, 2020",1
| U.S.,"August 19, 2020",1
held,"August 19, 2020",1
agreement,"August 19, 2020",1
need,"August 19, 2020",1
operators,"August 19, 2020",1
startup,"August 19, 2020",1
Indian,"August 19, 2020",1
challenge,"August 19, 2020",1
Exolaunch,"August 19, 2020",1
simpler,"August 19, 2020",1
OneWeb,"August 19, 2020",1
seeks,"August 19, 2020",1
observation,"August 19, 2020",1
revised,"August 19, 2021",1
updated,"August 19, 2021",1
at,"August 19, 2021",1
national,"August 19, 2021",1
Redwire,"August 19, 2021",1
for,"August 19, 2021",1
outer,"August 19, 2021",1
defenses,"August 19, 2021",1
Force,"August 19, 2021",1
balloons,"August 19, 2021",1
acquired,"August 19, 2021",1
NASA,"August 19, 2021",1
Accords,"August 19, 2021",1
by,"August 19, 2021",1
opens,"August 19, 2021",1
suit,"August 19, 2021",1
second-gen,"August 19, 2021",1
invest,"August 19, 2021",1
Geost,"August 19, 2021",1
National,"August 19, 2021",1
settle,"August 19, 2021",1
Shepard,"August 19, 2021",1
capabilities,"August 19, 2021",1
$13.6,"August 19, 2021",1
waits,"August 19, 2021",1
international,"August 19, 2021",1
a,"August 19, 2021",1
plan,"August 19, 2021",1
aimed,"August 19, 2021",1
supplier,"August 19, 2021",1
contract,"August 19, 2021",1
with,"August 19, 2021",1
first,"August 19, 2021",1
firm,"August 19, 2021",1
surveillance,"August 19, 2021",1
facility,"August 19, 2021",1
funding,"August 19, 2021",1
way,"August 19, 2021",1
billion,"August 19, 2021",1
Starlink,"August 19, 2021",1
give,"August 19, 2021",1
Startup,"August 19, 2021",1
Artemis,"August 19, 2021",1
issues ,"August 19, 2021",1
agencies,"August 19, 2021",1
Starship,"August 19, 2021",1
digital,"August 19, 2021",1
work,"August 19, 2021",1
imagery,"August 19, 2021",1
equity,"August 19, 2021",1
from,"August 19, 2021",1
license,"August 19, 2021",1
sensor,"August 19, 2021",1
wants,"August 19, 2021",1
perform,"August 19, 2021",1
raises,"August 19, 2021",1
touts,"August 19, 2021",1
role,"August 19, 2021",1
New,"August 19, 2021",1
under,"August 19, 2021",1
Vulcan,"August 19, 2021",1
stops,"August 19, 2021",1
