word_title,date,count
Satellite,"May 23, 2012",1
Senate,"May 23, 2012",1
Skeptical,"May 23, 2012",1
Likely,"May 23, 2012",1
Despite,"May 23, 2012",1
Four,"May 23, 2012",1
Up,"May 23, 2012",1
in,"May 23, 2012",1
Export,"May 23, 2012",1
Introduced,"May 23, 2012",1
Sat,"May 23, 2012",1
SES Still,"May 23, 2012",1
SES,"May 23, 2012",1
"Investments,","May 23, 2012",1
Broadband,"May 23, 2012",1
Satellites,"May 23, 2012",1
Bill,"May 23, 2012",1
U.S.,"May 23, 2012",1
Order,"May 23, 2012",1
of,"May 23, 2012",1
Reform,"May 23, 2012",1
Efforts,"May 23, 2013",1
from,"May 23, 2013",1
Reverse,"May 23, 2013",1
Draft,"May 23, 2013",1
Spare,"May 23, 2013",1
Focus,"May 23, 2013",1
Boost,"May 23, 2013",1
Six-year,"May 23, 2013",1
NOAA,"May 23, 2013",1
KSC,"May 23, 2013",1
Revamp,"May 23, 2013",1
"NOAA,","May 23, 2013",1
It,"May 23, 2013",1
NASA,"May 23, 2013",1
Commercialization,"May 23, 2013",1
Million,"May 23, 2013",1
Florida,"May 23, 2013",1
Is,"May 23, 2013",1
Globalstar,"May 23, 2013",1
Prompts,"May 23, 2013",1
Poised,"May 23, 2013",1
at,"May 23, 2013",1
for,"May 23, 2013",1
Bill,"May 23, 2013",1
Calls,"May 23, 2013",1
Activate,"May 23, 2013",1
More,"May 23, 2013",1
Sharper,"May 23, 2013",1
$20,"May 23, 2013",1
Says,"May 23, 2013",1
Glitch,"May 23, 2013",1
On-orbit,"May 23, 2013",1
Slide,"May 23, 2013",1
Get,"May 23, 2013",1
New,"May 23, 2014",1
Antares’,"May 23, 2014",1
Failure,"May 23, 2014",1
$100M,"May 23, 2014",1
A,"May 23, 2014",1
Data,"May 23, 2014",1
Space,"May 23, 2014",1
Countdown,"May 23, 2014",1
for,"May 23, 2014",1
Request,"May 23, 2014",1
Payloads,"May 23, 2014",1
U.S.,"May 23, 2014",1
Module,"May 23, 2014",1
Public,"May 23, 2014",1
Resumes,"May 23, 2014",1
Track,"May 23, 2014",1
Urge,"May 23, 2014",1
Provides,"May 23, 2014",1
Chiefs,"May 23, 2014",1
Look,"May 23, 2014",1
Stand,"May 23, 2014",1
Alternative,"May 23, 2014",1
Five,"May 23, 2014",1
Orion’s,"May 23, 2014",1
Suffers,"May 23, 2014",1
Back,"May 23, 2014",1
Service,"May 23, 2014",1
Launch,"May 23, 2014",1
without,"May 23, 2014",1
Rhetoric,"May 23, 2014",1
3,"May 23, 2014",1
Canada,"May 23, 2014",1
Bill,"May 23, 2014",1
Lockheed,"May 23, 2014",1
AJ-26,"May 23, 2014",1
Draws,"May 23, 2014",1
GPS,"May 23, 2014",1
Defense,"May 23, 2014",1
Senate,"May 23, 2014",1
Past,"May 23, 2014",1
"U.S.,","May 23, 2014",1
Responses,"May 23, 2014",1
Develop,"May 23, 2014",1
Rocket,"May 23, 2014",1
Test,"May 23, 2014",1
Asteroid,"May 23, 2016",1
Orion’s,"May 23, 2016",1
test,"May 23, 2016",1
uncertainty,"May 23, 2016",1
efforts,"May 23, 2016",1
service,"May 23, 2016",1
ISS’s,"May 23, 2016",1
domestic,"May 23, 2016",1
Mission,"May 23, 2016",1
flight,"May 23, 2016",1
Redirect,"May 23, 2016",1
demonstrator,"May 23, 2016",1
off,"May 23, 2016",1
Thaicom,"May 23, 2016",1
June,"May 23, 2016",1
The,"May 23, 2016",1
cuts,"May 23, 2016",1
RLV,"May 23, 2016",1
"spending,","May 23, 2016",1
India’s,"May 23, 2016",1
completes,"May 23, 2016",1
House,"May 23, 2016",1
bill,"May 23, 2016",1
increases,"May 23, 2016",1
Bigelow,"May 23, 2016",1
European,"May 23, 2016",1
despite,"May 23, 2016",1
"8,","May 23, 2016",1
review,"May 23, 2016",1
international,"May 23, 2016",1
but,"May 23, 2016",1
Ahead,"May 23, 2016",1
planetary,"May 23, 2016",1
continues,"May 23, 2016",1
|,"May 23, 2016",1
Week,"May 23, 2016",1
deploying,"May 23, 2016",1
cooperation,"May 23, 2016",1
key,"May 23, 2016",1
SpaceX,"May 23, 2016",1
launching,"May 23, 2016",1
faces,"May 23, 2016",1
and,"May 23, 2017",1
White,"May 23, 2017",1
billion,"May 23, 2017",1
adding,"May 23, 2017",1
Earth,"May 23, 2017",1
Weather,"May 23, 2017",1
Eutelsat,"May 23, 2017",1
delays,"May 23, 2017",1
education,"May 23, 2017",1
fleet,"May 23, 2017",1
DigitalGlobe,"May 23, 2017",1
merger,"May 23, 2017",1
satellite,"May 23, 2017",1
Electron,"May 23, 2017",1
"budget,","May 23, 2017",1
more,"May 23, 2017",1
Rocket,"May 23, 2017",1
science,"May 23, 2017",1
of,"May 23, 2017",1
against,"May 23, 2017",1
weighs,"May 23, 2017",1
hedge,"May 23, 2017",1
launch,"May 23, 2017",1
NASA,"May 23, 2017",1
cuts,"May 23, 2017",1
views,"May 23, 2017",1
proposes,"May 23, 2017",1
cyclical,"May 23, 2017",1
House,"May 23, 2017",1
again,"May 23, 2017",1
MDA,"May 23, 2017",1
rocket,"May 23, 2017",1
satellites,"May 23, 2017",1
to,"May 23, 2017",1
as,"May 23, 2017",1
Lab’s,"May 23, 2017",1
market,"May 23, 2017",1
$19.1,"May 23, 2017",1
Quantum,"May 23, 2017",1
weather,"May 23, 2018",1
group,"May 23, 2018",1
Sky,"May 23, 2018",1
growing,"May 23, 2018",1
system,"May 23, 2018",1
slot,"May 23, 2018",1
servicing,"May 23, 2018",1
tells,"May 23, 2018",1
of,"May 23, 2018",1
establishes,"May 23, 2018",1
Intelsat,"May 23, 2018",1
spite,"May 23, 2018",1
SpaceX,"May 23, 2018",1
smallsats,"May 23, 2018",1
AGI,"May 23, 2018",1
generate,"May 23, 2018",1
reusable,"May 23, 2018",1
Eutelsat,"May 23, 2018",1
begins,"May 23, 2018",1
broadband,"May 23, 2018",1
NBN,"May 23, 2018",1
tracking,"May 23, 2018",1
"commercial,","May 23, 2018",1
manufacturing,"May 23, 2018",1
New,"May 23, 2018",1
working,"May 23, 2018",1
UK,"May 23, 2018",1
concerns,"May 23, 2018",1
launch,"May 23, 2018",1
radar,"May 23, 2018",1
big,"May 23, 2018",1
means,"May 23, 2018",1
deep,"May 23, 2018",1
preps,"May 23, 2018",1
capacity,"May 23, 2018",1
services,"May 23, 2018",1
testing,"May 23, 2018",1
reliable,"May 23, 2018",1
U.S.,"May 23, 2018",1
Muster,"May 23, 2018",1
increase,"May 23, 2018",1
achievements,"May 23, 2018",1
offer,"May 23, 2018",1
that,"May 23, 2018",1
FCC,"May 23, 2018",1
with,"May 23, 2018",1
called,"May 23, 2018",1
NOAA,"May 23, 2018",1
orbital,"May 23, 2018",1
operations,"May 23, 2018",1
instrument,"May 23, 2018",1
anomaly,"May 23, 2018",1
DARPA,"May 23, 2018",1
addressing,"May 23, 2018",1
interest,"May 23, 2018",1
focus,"May 23, 2018",1
related,"May 23, 2018",1
spacecraft,"May 23, 2018",1
proximity,"May 23, 2018",1
already,"May 23, 2018",1
commercial,"May 23, 2018",1
dramatic,"May 23, 2018",1
underused,"May 23, 2018",1
launchers,"May 23, 2018",1
business,"May 23, 2018",1
suffers,"May 23, 2018",1
looking,"May 23, 2018",1
at,"May 23, 2018",1
dibs,"May 23, 2018",1
aims,"May 23, 2018",1
Starlink,"May 23, 2019",1
worries,"May 23, 2019",1
launches,"May 23, 2019",1
build,"May 23, 2019",1
"technologies,","May 23, 2019",1
Air,"May 23, 2019",1
Congress,"May 23, 2019",1
while,"May 23, 2019",1
ground,"May 23, 2019",1
our,"May 23, 2019",1
suffers,"May 23, 2019",1
might,"May 23, 2019",1
NOAA,"May 23, 2019",1
ecosystem,"May 23, 2019",1
innovation,"May 23, 2019",1
Long,"May 23, 2019",1
Maxar,"May 23, 2019",1
championing,"May 23, 2019",1
merge,"May 23, 2019",1
activates,"May 23, 2019",1
funding,"May 23, 2019",1
authorities,"May 23, 2019",1
NASA,"May 23, 2019",1
Op-Ed,"May 23, 2019",1
suggest,"May 23, 2019",1
China,"May 23, 2019",1
backfire,"May 23, 2019",1
communications,"May 23, 2019",1
programs,"May 23, 2019",1
4,"May 23, 2019",1
station,"May 23, 2019",1
M&A,"May 23, 2019",1
should,"May 23, 2019",1
OKs,"May 23, 2019",1
60,"May 23, 2019",1
element,"May 23, 2019",1
conditions,"May 23, 2019",1
DoD,"May 23, 2019",1
constellation,"May 23, 2019",1
Amazon,"May 23, 2019",1
Navy,"May 23, 2019",1
March,"May 23, 2019",1
for,"May 23, 2019",1
of,"May 23, 2019",1
Armed,"May 23, 2019",1
two,"May 23, 2019",1
Senate,"May 23, 2019",1
SpaceX,"May 23, 2019",1
appropriators,"May 23, 2019",1
Space,"May 23, 2019",1
in,"May 23, 2019",1
